BAY_SEG,YEAR,MONTH,tnloadkg
1,1985,1,21544.54
1,1985,2,19334.84
1,1985,3,23297.25
1,1985,4,16200.00
1,1985,5,14848.20
1,1985,6,31814.50
1,1985,7,55494.34
1,1985,8,55642.06
1,1985,9,86097.39
1,1985,10,25243.01
1,1985,11,16761.55
1,1985,12,14716.69
1,1986,1,24024.86
1,1986,2,25874.15
1,1986,3,30962.98
1,1986,4,17153.48
1,1986,5,34278.68
1,1986,6,54056.38
1,1986,7,41209.69
1,1986,8,55256.46
1,1986,9,39820.02
1,1986,10,73793.94
1,1986,11,21803.00
1,1986,12,16080.87
1,1987,1,28159.71
1,1987,2,39462.62
1,1987,3,90814.58
1,1987,4,48266.64
1,1987,5,64082.06
1,1987,6,27361.20
1,1987,7,66728.25
1,1987,8,82363.14
1,1987,9,49329.21
1,1987,10,23633.23
1,1987,11,19209.02
1,1987,12,12656.40
1,1988,1,33567.39
1,1988,2,21823.17
1,1988,3,30867.04
1,1988,4,39540.12
1,1988,5,17942.35
1,1988,6,25305.24
1,1988,7,22349.12
1,1988,8,136513.61
1,1988,9,200692.93
1,1988,10,23281.81
1,1988,11,46888.33
1,1988,12,24023.78
1,1989,1,18475.05
1,1989,2,16486.61
1,1989,3,16513.93
1,1989,4,40006.79
1,1989,5,10888.21
1,1989,6,50785.50
1,1989,7,64071.36
1,1989,8,82753.95
1,1989,9,78161.78
1,1989,10,26404.60
1,1989,11,15488.26
1,1989,12,28510.13
1,1990,1,17031.42
1,1990,2,25856.40
1,1990,3,14948.77
1,1990,4,14427.88
1,1990,5,20087.32
1,1990,6,68368.77
1,1990,7,61109.71
1,1990,8,56070.96
1,1990,9,29426.45
1,1990,10,16599.04
1,1990,11,17662.06
1,1990,12,9366.21
1,1991,1,20240.60
1,1991,2,11326.08
1,1991,3,43301.01
1,1991,4,23068.94
1,1991,5,50819.76
1,1991,6,48974.93
1,1991,7,86271.82
1,1991,8,93200.07
1,1991,9,46330.70
1,1991,10,19683.09
1,1991,11,18552.76
1,1991,12,10480.09
1,1992,1,17560.54
1,1992,2,23586.71
1,1992,3,19776.74
1,1992,4,29295.92
1,1992,5,9870.41
1,1992,6,56289.73
1,1992,7,30313.55
1,1992,8,61562.64
1,1992,9,50950.64
1,1992,10,65447.51
1,1992,11,20087.31
1,1992,12,18897.06
1,1993,1,26139.65
1,1993,2,25073.68
1,1993,3,43209.00
